,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
69,CZ,Aluminium ores and concentrates,Primary,19,0.234,0.192,4.266,0.443,0.656,0.781,1.96,0.666,7.101,0.008
70,CZ,Copper ores and concentrates,Primary,27,0.699,0.687,1.431,0.83,0.96,0.991,0.688,0.209,1.989,0.0
71,CZ,"Lead, zinc and tin ores and concentrates",Primary,31,0.408,0.388,2.452,0.627,0.745,0.838,1.587,0.462,4.891,0.0
72,CZ,Nickel ores and concentrates,Primary,23,0.333,0.303,3.0,0.528,0.833,0.909,1.543,0.492,4.681,0.0
73,CZ,Other non-ferrous metal ores and concentrates,Primary,35,0.238,0.216,4.193,0.406,0.771,0.866,1.849,0.52,6.354,0.001
74,CZ,Precious metal ores and concentrates,Primary,29,0.963,0.961,1.039,0.981,0.992,0.996,0.132,0.039,1.141,0.0
75,DE,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.217,0.195,4.598,0.336,0.768,0.833,1.964,0.548,7.129,0.16
76,DE,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.219,0.203,4.566,0.432,0.638,0.743,2.231,0.573,9.313,0.432
77,DE,Machinery and equipment n.e.c. (29),Tertiary,31,0.533,0.517,1.877,0.719,0.861,0.909,1.193,0.347,3.296,0.719
78,DE,Aluminium and aluminium products,Secondary,49,0.508,0.497,1.97,0.707,0.813,0.865,1.412,0.363,4.103,0.707
79,DE,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.451,0.44,2.217,0.663,0.777,0.836,1.589,0.408,4.897,0.663
80,DE,Copper products,Secondary,49,0.231,0.215,4.33,0.461,0.58,0.681,2.314,0.595,10.118,0.461
81,DE,"Lead, zinc and tin and products thereof",Secondary,49,0.273,0.257,3.67,0.411,0.78,0.856,1.838,0.472,6.287,0.309
