,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
201,HU,"Lead, zinc and tin and products thereof",Secondary,49,0.378,0.365,2.647,0.605,0.716,0.788,1.814,0.466,6.132,0.0
202,HU,Other non-ferrous metal products,Secondary,49,0.194,0.177,5.158,0.37,0.646,0.796,2.166,0.557,8.727,0.0
203,HU,Precious metals,Secondary,49,0.107,0.089,9.334,0.249,0.466,0.601,2.685,0.69,14.66,0.0
204,HU,Aluminium ores and concentrates,Primary,19,0.167,0.121,5.987,0.331,0.579,0.759,2.156,0.732,8.639,0.003
205,HU,Copper ores and concentrates,Primary,27,0.973,0.972,1.028,0.986,0.998,0.999,0.09,0.027,1.094,0.0
206,HU,"Lead, zinc and tin ores and concentrates",Primary,31,0.276,0.252,3.617,0.494,0.686,0.814,1.899,0.553,6.68,0.0
207,HU,Nickel ores and concentrates,Primary,23,0.568,0.548,1.761,0.743,0.892,0.945,1.043,0.332,2.836,0.0
208,HU,Other non-ferrous metal ores and concentrates,Primary,35,0.554,0.541,1.804,0.722,0.922,0.944,1.019,0.287,2.769,0.0
209,HU,Precious metal ores and concentrates,Primary,29,0.144,0.114,6.94,0.216,0.547,0.826,2.196,0.652,8.991,0.0
210,IE,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.179,0.155,5.599,0.25,0.711,0.815,2.095,0.585,8.126,0.0
211,IE,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.275,0.26,3.64,0.487,0.717,0.803,2.016,0.518,7.511,0.006
212,IE,Machinery and equipment n.e.c. (29),Tertiary,31,0.307,0.283,3.262,0.502,0.769,0.827,1.783,0.519,5.947,0.02
213,IE,Aluminium and aluminium products,Secondary,49,0.575,0.566,1.74,0.753,0.866,0.909,1.189,0.306,3.285,0.001
214,IE,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.257,0.242,3.887,0.476,0.654,0.81,2.058,0.529,7.832,0.0
215,IE,Copper products,Secondary,49,0.143,0.125,6.996,0.295,0.566,0.698,2.493,0.641,12.099,0.0
216,IE,"Lead, zinc and tin and products thereof",Secondary,49,0.325,0.311,3.077,0.497,0.839,0.889,1.648,0.423,5.194,0.002
217,IE,Other non-ferrous metal products,Secondary,49,0.542,0.533,1.844,0.729,0.859,0.898,1.242,0.319,3.461,0.001
218,IE,Precious metals,Secondary,49,0.278,0.263,3.592,0.501,0.699,0.789,1.994,0.512,7.346,0.001
219,IE,Aluminium ores and concentrates,Primary,19,0.25,0.208,4.003,0.452,0.674,0.859,1.836,0.623,6.27,0.0
220,IE,Copper ores and concentrates,Primary,27,0.578,0.562,1.73,0.753,0.884,0.927,1.084,0.329,2.957,0.0
221,IE,"Lead, zinc and tin ores and concentrates",Primary,31,0.241,0.216,4.151,0.444,0.678,0.816,1.937,0.564,6.94,0.047
222,IE,Nickel ores and concentrates,Primary,23,0.212,0.176,4.725,0.274,0.775,0.899,1.78,0.568,5.932,0.0
223,IE,Other non-ferrous metal ores and concentrates,Primary,35,0.865,0.861,1.156,0.93,0.964,0.975,0.42,0.118,1.522,0.0
224,IE,Precious metal ores and concentrates,Primary,29,0.122,0.091,8.181,0.181,0.492,0.698,2.321,0.689,10.187,0.003
225,IT,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.359,0.341,2.782,0.553,0.877,0.911,1.507,0.421,4.514,0.553
226,IT,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.155,0.137,6.449,0.284,0.641,0.749,2.392,0.615,10.937,0.284
227,IT,Machinery and equipment n.e.c. (29),Tertiary,31,0.567,0.552,1.765,0.738,0.942,0.962,0.994,0.289,2.701,0.738
228,IT,Aluminium and aluminium products,Secondary,49,0.235,0.22,4.247,0.382,0.715,0.79,2.072,0.532,7.941,0.382
229,IT,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.18,0.163,5.55,0.359,0.617,0.735,2.34,0.601,10.381,0.359
230,IT,Copper products,Secondary,49,0.141,0.123,7.102,0.325,0.528,0.626,2.595,0.667,13.395,0.325
231,IT,"Lead, zinc and tin and products thereof",Secondary,49,0.435,0.423,2.3,0.649,0.781,0.835,1.586,0.408,4.885,0.095
232,IT,Other non-ferrous metal products,Secondary,49,0.177,0.16,5.644,0.342,0.637,0.765,2.252,0.579,9.502,0.342
233,IT,Precious metals,Secondary,49,0.314,0.3,3.185,0.516,0.778,0.869,1.735,0.446,5.669,0.516
234,IT,Aluminium ores and concentrates,Primary,19,0.96,0.958,1.041,0.98,0.988,0.993,0.143,0.049,1.154,0.98
235,IT,Copper ores and concentrates,Primary,27,0.418,0.395,2.394,0.596,0.917,0.959,1.242,0.377,3.464,0.0
236,IT,"Lead, zinc and tin ores and concentrates",Primary,31,0.171,0.144,5.84,0.305,0.64,0.794,2.153,0.627,8.614,0.0
237,IT,Nickel ores and concentrates,Primary,23,0.191,0.154,5.235,0.297,0.66,0.825,1.936,0.617,6.931,0.0
238,IT,Other non-ferrous metal ores and concentrates,Primary,35,0.339,0.32,2.949,0.563,0.721,0.826,1.746,0.491,5.733,0.563
239,IT,Precious metal ores and concentrates,Primary,29,0.172,0.143,5.799,0.309,0.632,0.81,2.131,0.633,8.425,0.008
240,LT,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.174,0.15,5.758,0.305,0.664,0.766,2.245,0.626,9.436,0.0
241,LT,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.151,0.133,6.623,0.335,0.537,0.693,2.523,0.648,12.462,0.001
242,LT,Machinery and equipment n.e.c. (29),Tertiary,31,0.219,0.193,4.56,0.376,0.728,0.871,1.898,0.553,6.669,0.0
243,LT,Aluminium and aluminium products,Secondary,49,0.188,0.171,5.312,0.354,0.656,0.811,2.222,0.571,9.225,0.0
244,LT,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.143,0.125,7.013,0.257,0.569,0.691,2.486,0.639,12.018,0.0
245,LT,Copper products,Secondary,49,0.135,0.117,7.387,0.309,0.514,0.642,2.593,0.666,13.366,0.002
246,LT,"Lead, zinc and tin and products thereof",Secondary,49,0.148,0.13,6.754,0.268,0.607,0.763,2.369,0.609,10.692,0.0
247,LT,Other non-ferrous metal products,Secondary,49,0.118,0.1,8.476,0.196,0.551,0.675,2.571,0.661,13.076,0.0
248,LT,Precious metals,Secondary,49,0.355,0.341,2.82,0.576,0.762,0.843,1.72,0.442,5.584,0.0
249,LT,Aluminium ores and concentrates,Primary,19,0.122,0.073,8.205,0.224,0.486,0.69,2.329,0.791,10.27,0.0
250,LT,Copper ores and concentrates,Primary,27,0.286,0.258,3.501,0.438,0.839,0.964,1.518,0.461,4.563,0.0
251,LT,"Lead, zinc and tin ores and concentrates",Primary,31,0.46,0.442,2.175,0.667,0.805,0.87,1.414,0.412,4.112,0.0
252,LT,Nickel ores and concentrates,Primary,23,0.206,0.17,4.849,0.322,0.715,0.854,1.914,0.61,6.781,0.0
253,LT,Other non-ferrous metal ores and concentrates,Primary,35,0.12,0.094,8.349,0.267,0.486,0.631,2.515,0.707,12.365,0.0
254,LT,Precious metal ores and concentrates,Primary,29,0.141,0.11,7.115,0.281,0.548,0.714,2.299,0.683,9.969,0.0
255,LU,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.189,0.165,5.304,0.308,0.665,0.771,2.156,0.602,8.632,0.0
256,LU,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.177,0.16,5.651,0.355,0.627,0.754,2.327,0.598,10.249,0.001
257,LU,Machinery and equipment n.e.c. (29),Tertiary,31,0.495,0.478,2.022,0.686,0.889,0.92,1.235,0.36,3.439,0.001
258,LU,Aluminium and aluminium products,Secondary,49,0.215,0.199,4.65,0.31,0.739,0.855,1.991,0.512,7.326,0.0
259,LU,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.225,0.208,4.454,0.404,0.7,0.819,2.063,0.53,7.867,0.0
260,LU,Copper products,Secondary,49,0.099,0.08,10.081,0.233,0.434,0.592,2.743,0.705,15.54,0.002
261,LU,"Lead, zinc and tin and products thereof",Secondary,49,0.29,0.276,3.445,0.495,0.778,0.864,1.842,0.473,6.312,0.001
262,LU,Other non-ferrous metal products,Secondary,49,0.287,0.272,3.481,0.483,0.783,0.852,1.837,0.472,6.275,0.0
263,LU,Precious metals,Secondary,49,0.106,0.087,9.446,0.198,0.467,0.636,2.601,0.668,13.475,0.003
264,LU,Aluminium ores and concentrates,Primary,19,0.165,0.119,6.061,0.293,0.602,0.762,2.09,0.71,8.081,0.0
265,LU,Copper ores and concentrates,Primary,27,0.42,0.398,2.379,0.499,0.941,0.969,1.113,0.338,3.043,0.0
266,LU,"Lead, zinc and tin ores and concentrates",Primary,31,0.124,0.095,8.075,0.194,0.507,0.721,2.331,0.679,10.289,0.0
267,LU,Nickel ores and concentrates,Primary,23,0.205,0.169,4.87,0.313,0.754,0.866,1.866,0.595,6.463,0.0
268,LU,Other non-ferrous metal ores and concentrates,Primary,35,0.49,0.475,2.04,0.68,0.872,0.911,1.264,0.356,3.541,0.0
269,LU,Precious metal ores and concentrates,Primary,29,0.13,0.099,7.7,0.241,0.527,0.71,2.34,0.695,10.381,0.0
270,LV,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.254,0.233,3.937,0.447,0.726,0.81,1.992,0.556,7.332,0.072
271,LV,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.093,0.075,10.704,0.223,0.433,0.581,2.869,0.737,17.623,0.089
272,LV,Machinery and equipment n.e.c. (29),Tertiary,31,0.308,0.285,3.245,0.527,0.726,0.824,1.824,0.531,6.198,0.069
273,LV,Aluminium and aluminium products,Secondary,49,0.117,0.099,8.517,0.256,0.498,0.617,2.752,0.707,15.676,0.036
274,LV,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.077,0.058,12.988,0.123,0.358,0.55,2.917,0.749,18.478,0.049
275,LV,Copper products,Secondary,49,0.086,0.067,11.576,0.181,0.421,0.55,2.848,0.732,17.256,0.082
276,LV,"Lead, zinc and tin and products thereof",Secondary,49,0.368,0.355,2.719,0.591,0.748,0.808,1.804,0.464,6.075,0.005
277,LV,Other non-ferrous metal products,Secondary,49,0.245,0.229,4.087,0.457,0.686,0.757,2.115,0.544,8.292,0.004
278,LV,Precious metals,Secondary,49,0.067,0.048,14.902,0.108,0.311,0.479,2.924,0.751,18.623,0.105
279,LV,Aluminium ores and concentrates,Primary,19,0.113,0.063,8.886,0.197,0.455,0.663,2.374,0.806,10.737,0.0
280,LV,Copper ores and concentrates,Primary,27,0.344,0.319,2.904,0.532,0.829,0.925,1.497,0.454,4.469,0.0
281,LV,"Lead, zinc and tin ores and concentrates",Primary,31,0.168,0.14,5.964,0.284,0.609,0.85,2.093,0.609,8.109,0.0
282,LV,Nickel ores and concentrates,Primary,23,0.221,0.185,4.529,0.311,0.792,0.887,1.796,0.573,6.024,0.0
283,LV,Other non-ferrous metal ores and concentrates,Primary,35,0.136,0.111,7.327,0.249,0.578,0.729,2.362,0.664,10.608,0.0
284,LV,Precious metal ores and concentrates,Primary,29,0.165,0.135,6.067,0.348,0.558,0.697,2.269,0.674,9.674,0.0
285,MT,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.209,0.187,4.774,0.303,0.78,0.838,1.975,0.551,7.204,0.0
286,MT,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.11,0.091,9.112,0.201,0.512,0.667,2.641,0.678,14.021,0.0
287,MT,Machinery and equipment n.e.c. (29),Tertiary,31,0.533,0.517,1.877,0.714,0.926,0.95,1.091,0.318,2.977,0.0
288,MT,Aluminium and aluminium products,Secondary,49,0.455,0.444,2.197,0.658,0.823,0.867,1.48,0.38,4.392,0.0
289,MT,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.441,0.429,2.27,0.652,0.793,0.86,1.572,0.404,4.818,0.0
290,MT,Copper products,Secondary,49,0.194,0.177,5.167,0.408,0.585,0.68,2.4,0.617,11.021,0.0
291,MT,"Lead, zinc and tin and products thereof",Secondary,49,0.37,0.357,2.699,0.582,0.79,0.844,1.694,0.435,5.442,0.0
292,MT,Other non-ferrous metal products,Secondary,49,0.126,0.108,7.929,0.247,0.521,0.665,2.551,0.655,12.819,0.0
293,MT,Precious metals,Secondary,49,0.314,0.3,3.186,0.516,0.777,0.869,1.731,0.445,5.645,0.0
294,MT,Aluminium ores and concentrates,Primary,19,0.746,0.732,1.34,0.862,0.913,0.956,0.701,0.238,2.015,0.0
295,MT,Copper ores and concentrates,Primary,27,0.696,0.684,1.438,0.831,0.91,0.955,0.815,0.247,2.258,0.0
296,MT,"Lead, zinc and tin ores and concentrates",Primary,31,0.163,0.135,6.129,0.294,0.616,0.792,2.175,0.633,8.805,0.0
297,MT,Nickel ores and concentrates,Primary,23,0.191,0.154,5.242,0.284,0.666,0.835,1.913,0.61,6.771,0.0
298,MT,Other non-ferrous metal ores and concentrates,Primary,35,0.329,0.309,3.042,0.553,0.716,0.818,1.776,0.5,5.907,0.0
299,MT,Precious metal ores and concentrates,Primary,29,0.192,0.163,5.218,0.366,0.66,0.79,2.097,0.623,8.142,0.0
300,NL,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.213,0.19,4.698,0.328,0.685,0.773,2.086,0.582,8.051,0.0
301,NL,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.162,0.144,6.176,0.322,0.617,0.75,2.37,0.609,10.699,0.322
302,NL,Machinery and equipment n.e.c. (29),Tertiary,31,0.288,0.264,3.472,0.374,0.858,0.903,1.624,0.473,5.072,0.374
303,NL,Aluminium and aluminium products,Secondary,49,0.369,0.356,2.712,0.59,0.747,0.858,1.697,0.436,5.46,0.59
304,NL,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.124,0.105,8.086,0.279,0.501,0.636,2.597,0.667,13.428,0.106
305,NL,Copper products,Secondary,49,0.152,0.134,6.591,0.336,0.54,0.656,2.502,0.643,12.209,0.336
306,NL,"Lead, zinc and tin and products thereof",Secondary,49,0.232,0.216,4.305,0.337,0.752,0.844,1.971,0.506,7.175,0.337
307,NL,Other non-ferrous metal products,Secondary,49,0.197,0.18,5.084,0.357,0.689,0.814,2.118,0.544,8.312,0.357
308,NL,Precious metals,Secondary,49,0.141,0.123,7.11,0.297,0.554,0.669,2.459,0.632,11.697,0.167
309,NL,Aluminium ores and concentrates,Primary,19,0.143,0.095,7.005,0.259,0.554,0.749,2.179,0.74,8.841,0.0
310,NL,Copper ores and concentrates,Primary,27,0.679,0.667,1.472,0.821,0.903,0.945,0.866,0.263,2.379,0.0
311,NL,"Lead, zinc and tin ores and concentrates",Primary,31,0.133,0.104,7.536,0.278,0.526,0.671,2.372,0.691,10.719,0.0
312,NL,Nickel ores and concentrates,Primary,23,0.217,0.181,4.616,0.289,0.781,0.901,1.776,0.566,5.904,0.0
313,NL,Other non-ferrous metal ores and concentrates,Primary,35,0.209,0.186,4.775,0.312,0.716,0.861,1.952,0.549,7.042,0.295
314,NL,Precious metal ores and concentrates,Primary,29,0.118,0.086,8.496,0.208,0.495,0.683,2.4,0.713,11.027,0.0
315,PL,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.21,0.187,4.772,0.299,0.78,0.845,1.982,0.553,7.26,0.299
316,PL,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.257,0.242,3.884,0.48,0.658,0.778,2.12,0.545,8.334,0.48
317,PL,Machinery and equipment n.e.c. (29),Tertiary,31,0.285,0.261,3.515,0.465,0.78,0.902,1.7,0.495,5.477,0.465
318,PL,Aluminium and aluminium products,Secondary,49,0.468,0.457,2.137,0.676,0.807,0.85,1.526,0.392,4.599,0.676
319,PL,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.28,0.265,3.573,0.511,0.658,0.744,2.112,0.543,8.268,0.511
320,PL,Copper products,Secondary,49,0.348,0.334,2.877,0.577,0.69,0.791,1.883,0.484,6.575,0.577
321,PL,"Lead, zinc and tin and products thereof",Secondary,49,0.196,0.18,5.09,0.284,0.751,0.833,2.037,0.523,7.664,0.22
322,PL,Other non-ferrous metal products,Secondary,49,0.343,0.33,2.913,0.564,0.751,0.821,1.82,0.468,6.17,0.564
323,PL,Precious metals,Secondary,49,0.365,0.352,2.74,0.584,0.773,0.855,1.669,0.429,5.307,0.584
324,PL,Aluminium ores and concentrates,Primary,19,0.121,0.072,8.245,0.21,0.486,0.714,2.314,0.786,10.118,0.0
325,PL,Copper ores and concentrates,Primary,27,0.34,0.314,2.943,0.507,0.854,0.95,1.436,0.436,4.203,0.507
326,PL,"Lead, zinc and tin ores and concentrates",Primary,31,0.148,0.119,6.773,0.317,0.541,0.69,2.345,0.683,10.428,0.118
327,PL,Nickel ores and concentrates,Primary,23,0.25,0.215,4.008,0.393,0.815,0.9,1.711,0.546,5.537,0.009
328,PL,Other non-ferrous metal ores and concentrates,Primary,35,0.097,0.07,10.362,0.158,0.422,0.627,2.594,0.729,13.378,0.158
329,PL,Precious metal ores and concentrates,Primary,29,0.881,0.877,1.135,0.939,0.967,0.979,0.37,0.11,1.448,0.016
330,PT,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.209,0.186,4.784,0.316,0.739,0.888,1.895,0.529,6.65,0.316
331,PT,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.346,0.333,2.889,0.572,0.723,0.81,1.844,0.474,6.323,0.572
332,PT,Machinery and equipment n.e.c. (29),Tertiary,31,0.331,0.309,3.02,0.531,0.828,0.918,1.577,0.459,4.843,0.531
333,PT,Aluminium and aluminium products,Secondary,49,0.235,0.219,4.254,0.38,0.764,0.825,1.992,0.512,7.334,0.38
334,PT,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.331,0.317,3.025,0.548,0.749,0.819,1.82,0.468,6.171,0.548
335,PT,Copper products,Secondary,49,0.338,0.325,2.954,0.561,0.738,0.832,1.806,0.464,6.084,0.561
336,PT,"Lead, zinc and tin and products thereof",Secondary,49,0.333,0.319,3.002,0.499,0.821,0.865,1.649,0.424,5.201,0.282
337,PT,Other non-ferrous metal products,Secondary,49,0.108,0.089,9.302,0.19,0.473,0.658,2.62,0.673,13.739,0.096
338,PT,Precious metals,Secondary,49,0.067,0.048,14.857,0.14,0.312,0.462,2.936,0.755,18.848,0.072
339,PT,Aluminium ores and concentrates,Primary,19,0.193,0.148,5.188,0.382,0.593,0.754,2.052,0.697,7.783,0.0
340,PT,Copper ores and concentrates,Primary,27,0.888,0.883,1.127,0.941,0.985,0.992,0.307,0.093,1.36,0.036
341,PT,"Lead, zinc and tin ores and concentrates",Primary,31,0.361,0.34,2.772,0.559,0.843,0.918,1.495,0.435,4.46,0.097
342,PT,Nickel ores and concentrates,Primary,23,0.182,0.145,5.482,0.308,0.656,0.858,1.964,0.626,7.124,0.0
343,PT,Other non-ferrous metal ores and concentrates,Primary,35,0.157,0.132,6.378,0.259,0.616,0.8,2.216,0.623,9.167,0.259
344,PT,Precious metal ores and concentrates,Primary,29,0.379,0.357,2.636,0.583,0.846,0.921,1.479,0.439,4.39,0.11
345,RO,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.256,0.235,3.9,0.443,0.712,0.779,1.987,0.554,7.292,0.0
346,RO,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.567,0.558,1.763,0.749,0.843,0.897,1.263,0.325,3.536,0.749
347,RO,Machinery and equipment n.e.c. (29),Tertiary,31,0.617,0.604,1.621,0.777,0.922,0.951,0.946,0.275,2.575,0.777
348,RO,Aluminium and aluminium products,Secondary,49,0.129,0.111,7.762,0.278,0.563,0.645,2.65,0.681,14.16,0.157
349,RO,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.207,0.191,4.82,0.412,0.641,0.72,2.326,0.598,10.238,0.412
350,RO,Copper products,Secondary,49,0.179,0.162,5.587,0.35,0.656,0.741,2.315,0.595,10.123,0.012
351,RO,"Lead, zinc and tin and products thereof",Secondary,49,0.418,0.406,2.392,0.64,0.718,0.778,1.761,0.452,5.816,0.009
352,RO,Other non-ferrous metal products,Secondary,49,0.11,0.091,9.115,0.27,0.445,0.579,2.746,0.706,15.582,0.036
353,RO,Precious metals,Secondary,49,0.118,0.099,8.49,0.277,0.474,0.613,2.633,0.677,13.916,0.001
354,RO,Aluminium ores and concentrates,Primary,19,0.121,0.072,8.258,0.212,0.521,0.703,2.354,0.799,10.523,0.0
355,RO,Copper ores and concentrates,Primary,27,0.62,0.606,1.612,0.768,0.992,0.995,0.723,0.219,2.06,0.0
356,RO,"Lead, zinc and tin ores and concentrates",Primary,31,0.126,0.097,7.942,0.216,0.507,0.72,2.322,0.676,10.192,0.0
357,RO,Nickel ores and concentrates,Primary,23,0.243,0.209,4.112,0.361,0.772,0.879,1.767,0.564,5.855,0.0
358,RO,Other non-ferrous metal ores and concentrates,Primary,35,0.134,0.108,7.47,0.282,0.532,0.679,2.405,0.677,11.082,0.0
359,RO,Precious metal ores and concentrates,Primary,29,0.625,0.612,1.6,0.784,0.901,0.939,0.955,0.284,2.599,0.001
360,SE,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.236,0.214,4.243,0.346,0.741,0.858,1.895,0.529,6.65,0.004
361,SE,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.114,0.095,8.793,0.229,0.5,0.675,2.625,0.674,13.803,0.145
362,SE,Machinery and equipment n.e.c. (29),Tertiary,31,0.212,0.186,4.709,0.295,0.754,0.91,1.823,0.531,6.191,0.295
363,SE,Aluminium and aluminium products,Secondary,49,0.167,0.149,5.998,0.36,0.551,0.694,2.431,0.625,11.375,0.078
364,SE,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.144,0.126,6.96,0.251,0.581,0.765,2.396,0.616,10.984,0.214
365,SE,Copper products,Secondary,49,0.077,0.058,12.982,0.133,0.352,0.522,2.851,0.733,17.305,0.079
366,SE,"Lead, zinc and tin and products thereof",Secondary,49,0.478,0.467,2.091,0.684,0.797,0.861,1.467,0.377,4.334,0.03
367,SE,Other non-ferrous metal products,Secondary,49,0.356,0.343,2.806,0.539,0.867,0.923,1.486,0.382,4.419,0.539
368,SE,Precious metals,Secondary,49,0.291,0.276,3.44,0.48,0.768,0.877,1.718,0.441,5.574,0.016
369,SE,Aluminium ores and concentrates,Primary,19,0.143,0.096,6.985,0.262,0.569,0.744,2.2,0.747,9.023,0.0
370,SE,Copper ores and concentrates,Primary,27,0.216,0.186,4.636,0.358,0.733,0.869,1.84,0.558,6.293,0.358
371,SE,"Lead, zinc and tin ores and concentrates",Primary,31,0.307,0.284,3.261,0.449,0.812,0.883,1.63,0.475,5.103,0.314
372,SE,Nickel ores and concentrates,Primary,23,0.854,0.847,1.172,0.923,0.987,0.995,0.368,0.117,1.445,0.045
373,SE,Other non-ferrous metal ores and concentrates,Primary,35,0.305,0.284,3.282,0.509,0.765,0.908,1.691,0.476,5.425,0.097
374,SE,Precious metal ores and concentrates,Primary,29,0.866,0.862,1.154,0.928,0.997,0.998,0.286,0.085,1.331,0.928
375,SI,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.173,0.149,5.788,0.309,0.646,0.775,2.216,0.618,9.168,0.0
376,SI,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.085,0.066,11.749,0.155,0.402,0.586,2.812,0.723,16.645,0.004
377,SI,Machinery and equipment n.e.c. (29),Tertiary,31,0.293,0.27,3.407,0.478,0.793,0.927,1.612,0.469,5.014,0.002
378,SI,Aluminium and aluminium products,Secondary,49,0.224,0.208,4.463,0.394,0.744,0.846,2.006,0.516,7.437,0.006
379,SI,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.185,0.168,5.392,0.326,0.649,0.774,2.226,0.572,9.265,0.003
380,SI,Copper products,Secondary,49,0.086,0.067,11.64,0.175,0.415,0.541,2.834,0.728,17.012,0.0
381,SI,"Lead, zinc and tin and products thereof",Secondary,49,0.357,0.344,2.8,0.586,0.701,0.773,1.876,0.482,6.527,0.0
382,SI,Other non-ferrous metal products,Secondary,49,0.207,0.19,4.831,0.397,0.681,0.765,2.176,0.559,8.808,0.001
383,SI,Precious metals,Secondary,49,0.234,0.218,4.267,0.424,0.699,0.804,2.054,0.528,7.802,0.0
384,SI,Aluminium ores and concentrates,Primary,19,0.494,0.465,2.026,0.694,0.801,0.879,1.305,0.443,3.688,0.0
385,SI,Copper ores and concentrates,Primary,27,0.861,0.855,1.162,0.926,0.993,0.996,0.339,0.103,1.404,0.0
386,SI,"Lead, zinc and tin ores and concentrates",Primary,31,0.128,0.099,7.826,0.208,0.548,0.733,2.348,0.684,10.46,0.0
387,SI,Nickel ores and concentrates,Primary,23,0.765,0.754,1.307,0.873,0.945,0.968,0.625,0.199,1.868,0.0
388,SI,Other non-ferrous metal ores and concentrates,Primary,35,0.59,0.578,1.696,0.761,0.892,0.932,1.056,0.297,2.875,0.0
389,SI,Precious metal ores and concentrates,Primary,29,0.162,0.132,6.165,0.289,0.629,0.759,2.208,0.656,9.101,0.0
390,SK,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.203,0.18,4.933,0.383,0.654,0.771,2.172,0.606,8.774,0.0
391,SK,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.098,0.079,10.194,0.22,0.469,0.598,2.815,0.723,16.7,0.018
392,SK,Machinery and equipment n.e.c. (29),Tertiary,31,0.139,0.111,7.182,0.216,0.602,0.743,2.308,0.672,10.05,0.029
393,SK,Aluminium and aluminium products,Secondary,49,0.12,0.101,8.359,0.305,0.456,0.56,2.857,0.734,17.409,0.004
394,SK,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.083,0.064,11.988,0.191,0.412,0.537,2.949,0.758,19.084,0.005
395,SK,Copper products,Secondary,49,0.142,0.124,7.062,0.307,0.553,0.69,2.515,0.646,12.362,0.001
396,SK,"Lead, zinc and tin and products thereof",Secondary,49,0.35,0.337,2.853,0.581,0.695,0.776,1.924,0.494,6.846,0.004
397,SK,Other non-ferrous metal products,Secondary,49,0.091,0.072,11.034,0.199,0.424,0.575,2.791,0.717,16.302,0.001
398,SK,Precious metals,Secondary,49,0.073,0.053,13.783,0.167,0.334,0.482,2.906,0.747,18.276,0.001
399,SK,Aluminium ores and concentrates,Primary,19,0.119,0.07,8.422,0.206,0.491,0.684,2.358,0.801,10.57,0.0
400,SK,Copper ores and concentrates,Primary,27,0.947,0.945,1.056,0.973,0.996,0.998,0.16,0.049,1.174,0.0
401,SK,"Lead, zinc and tin ores and concentrates",Primary,31,0.174,0.147,5.734,0.324,0.635,0.759,2.186,0.637,8.897,0.0
402,SK,Nickel ores and concentrates,Primary,23,0.225,0.189,4.451,0.333,0.797,0.877,1.792,0.571,6.0,0.0
403,SK,Other non-ferrous metal ores and concentrates,Primary,35,0.204,0.18,4.907,0.367,0.676,0.783,2.102,0.591,8.18,0.0
404,SK,Precious metal ores and concentrates,Primary,29,0.126,0.095,7.938,0.232,0.506,0.698,2.326,0.691,10.232,0.088
405,GB,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.191,0.168,5.239,0.297,0.678,0.793,2.126,0.593,8.38,0.039
406,GB,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.203,0.186,4.927,0.398,0.64,0.749,2.274,0.584,9.723,0.398
407,GB,Machinery and equipment n.e.c. (29),Tertiary,31,0.243,0.217,4.122,0.415,0.724,0.823,1.945,0.566,6.994,0.02
408,GB,Aluminium and aluminium products,Secondary,49,0.588,0.579,1.701,0.763,0.856,0.893,1.182,0.304,3.262,0.763
