Shock_Industry,Shock_Country,Has_Shock_Label,Has_Solar_Label
Aluminium ores and concentrates,"('AT', 'Sewage sludge for treatment: biogasification and land application')",False,False
Aluminium ores and concentrates,"('AT', 'Food waste for treatment: composting and land application')",False,False
Aluminium ores and concentrates,"('AT', 'Paper and wood waste for treatment: composting and land application')",False,False
Aluminium ores and concentrates,"('AT', 'Food waste for treatment: waste water treatment')",False,False
Aluminium ores and concentrates,"('AT', 'Other waste for treatment: waste water treatment')",False,False
Aluminium ores and concentrates,"('AT', 'Food waste for treatment: landfill')",False,False
Aluminium ores and concentrates,"('AT', 'Paper for treatment: landfill')",False,False
Aluminium ores and concentrates,"('AT', 'Plastic waste for treatment: landfill')",False,False
Aluminium ores and concentrates,"('AT', 'Inert/metal/hazardous waste for treatment: landfill')",False,False
Aluminium ores and concentrates,"('AT', 'Textiles waste for treatment: landfill')",False,False
Aluminium ores and concentrates,"('AT', 'Wood waste for treatment: landfill')",False,False
Aluminium ores and concentrates,"('AT', 'Membership organisation services n.e.c. (91)')",False,False
Aluminium ores and concentrates,"('AT', 'Recreational, cultural and sporting services (92)')",False,False
Aluminium ores and concentrates,"('AT', 'Other services (93)')",False,False
Aluminium ores and concentrates,"('AT', 'Private households with employed persons (95)')",False,False
Aluminium ores and concentrates,"('AT', 'Extra-territorial organizations and bodies')",False,False
Aluminium ores and concentrates,"('BE', 'Paddy rice')",False,False
Aluminium ores and concentrates,"('BE', 'Wheat')",False,False
Aluminium ores and concentrates,"('BE', 'Cereal grains nec')",False,False
Aluminium ores and concentrates,"('BE', 'Vegetables, fruit, nuts')",False,False
Aluminium ores and concentrates,"('BE', 'Oil seeds')",False,False
Aluminium ores and concentrates,"('BE', 'Sugar cane, sugar beet')",False,False
Aluminium ores and concentrates,"('BE', 'Plant-based fibers')",False,False
Aluminium ores and concentrates,"('BE', 'Crops nec')",False,False
Aluminium ores and concentrates,"('BE', 'Cattle')",False,False
Aluminium ores and concentrates,"('BE', 'Pigs')",False,False
Aluminium ores and concentrates,"('BE', 'Poultry')",False,False
Aluminium ores and concentrates,"('BE', 'Meat animals nec')",False,False
Aluminium ores and concentrates,"('BE', 'Animal products nec')",False,False
Aluminium ores and concentrates,"('BE', 'Raw milk')",False,False
Aluminium ores and concentrates,"('BE', 'Wool, silk-worm cocoons')",False,False
Aluminium ores and concentrates,"('BE', 'Manure (conventional treatment)')",False,False
Aluminium ores and concentrates,"('BE', 'Manure (biogas treatment)')",False,False
Aluminium ores and concentrates,"('BE', 'Products of forestry, logging and related services (02)')",False,False
Aluminium ores and concentrates,"('BE', 'Fish and other fishing products; services incidental of fishing (05)')",False,False
Aluminium ores and concentrates,"('BE', 'Anthracite')",False,False
Aluminium ores and concentrates,"('BE', 'Coking Coal')",False,False
Aluminium ores and concentrates,"('BE', 'Other Bituminous Coal')",False,False
Aluminium ores and concentrates,"('BE', 'Sub-Bituminous Coal')",False,False
Aluminium ores and concentrates,"('BE', 'Patent Fuel')",False,False
Aluminium ores and concentrates,"('BE', 'Lignite/Brown Coal')",False,False
Aluminium ores and concentrates,"('BE', 'BKB/Peat Briquettes')",False,False
Aluminium ores and concentrates,"('BE', 'Peat')",False,False
Aluminium ores and concentrates,"('BE', 'Crude petroleum and services related to crude oil extraction, excluding surveying')",False,False
Aluminium ores and concentrates,"('BE', 'Natural gas and services related to natural gas extraction, excluding surveying')",False,False
Aluminium ores and concentrates,"('BE', 'Natural Gas Liquids')",False,False
Aluminium ores and concentrates,"('BE', 'Other Hydrocarbons')",False,False
Aluminium ores and concentrates,"('BE', 'Uranium and thorium ores (12)')",False,False
Aluminium ores and concentrates,"('BE', 'Iron ores')",False,False
Aluminium ores and concentrates,"('BE', 'Copper ores and concentrates')",False,False
Aluminium ores and concentrates,"('BE', 'Nickel ores and concentrates')",False,False
Aluminium ores and concentrates,"('BE', 'Aluminium ores and concentrates')",False,False
Aluminium ores and concentrates,"('BE', 'Precious metal ores and concentrates')",False,False
Aluminium ores and concentrates,"('BE', 'Lead, zinc and tin ores and concentrates')",False,False
Aluminium ores and concentrates,"('BE', 'Other non-ferrous metal ores and concentrates')",False,False
Aluminium ores and concentrates,"('BE', 'Stone')",False,False
Aluminium ores and concentrates,"('BE', 'Sand and clay')",False,False
Aluminium ores and concentrates,"('BE', 'Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.')",False,False
Aluminium ores and concentrates,"('BE', 'Products of meat cattle')",False,False
Aluminium ores and concentrates,"('BE', 'Products of meat pigs')",False,False
Aluminium ores and concentrates,"('BE', 'Products of meat poultry')",False,False
Aluminium ores and concentrates,"('BE', 'Meat products nec')",False,False
Aluminium ores and concentrates,"('BE', 'products of Vegetable oils and fats')",False,False
Aluminium ores and concentrates,"('BE', 'Dairy products')",False,False
Aluminium ores and concentrates,"('BE', 'Processed rice')",False,False
Aluminium ores and concentrates,"('BE', 'Sugar')",False,False
Aluminium ores and concentrates,"('BE', 'Food products nec')",False,False
Aluminium ores and concentrates,"('BE', 'Beverages')",False,False
Aluminium ores and concentrates,"('BE', 'Fish products')",False,False
Aluminium ores and concentrates,"('BE', 'Tobacco products (16)')",False,False
Aluminium ores and concentrates,"('BE', 'Textiles (17)')",False,False
Aluminium ores and concentrates,"('BE', 'Wearing apparel; furs (18)')",False,False
Aluminium ores and concentrates,"('BE', 'Leather and leather products (19)')",False,False
Aluminium ores and concentrates,"('BE', 'Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)')",False,False
Aluminium ores and concentrates,"('BE', 'Wood material for treatment, Re-processing of secondary wood material into new wood material')",False,False
Aluminium ores and concentrates,"('BE', 'Pulp')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary paper for treatment, Re-processing of secondary paper into new pulp')",False,False
Aluminium ores and concentrates,"('BE', 'Paper and paper products')",False,False
Aluminium ores and concentrates,"('BE', 'Printed matter and recorded media (22)')",False,False
Aluminium ores and concentrates,"('BE', 'Coke Oven Coke')",False,False
Aluminium ores and concentrates,"('BE', 'Gas Coke')",False,False
Aluminium ores and concentrates,"('BE', 'Coal Tar')",False,False
Aluminium ores and concentrates,"('BE', 'Motor Gasoline')",False,False
Aluminium ores and concentrates,"('BE', 'Aviation Gasoline')",False,False
Aluminium ores and concentrates,"('BE', 'Gasoline Type Jet Fuel')",False,False
Aluminium ores and concentrates,"('BE', 'Kerosene Type Jet Fuel')",False,False
Aluminium ores and concentrates,"('BE', 'Kerosene')",False,False
Aluminium ores and concentrates,"('BE', 'Gas/Diesel Oil')",False,False
Aluminium ores and concentrates,"('BE', 'Heavy Fuel Oil')",False,False
Aluminium ores and concentrates,"('BE', 'Refinery Gas')",False,False
Aluminium ores and concentrates,"('BE', 'Liquefied Petroleum Gases (LPG)')",False,False
Aluminium ores and concentrates,"('BE', 'Refinery Feedstocks')",False,False
Aluminium ores and concentrates,"('BE', 'Ethane')",False,False
Aluminium ores and concentrates,"('BE', 'Naphtha')",False,False
Aluminium ores and concentrates,"('BE', 'White Spirit & SBP')",False,False
Aluminium ores and concentrates,"('BE', 'Lubricants')",False,False
Aluminium ores and concentrates,"('BE', 'Bitumen')",False,False
Aluminium ores and concentrates,"('BE', 'Paraffin Waxes')",False,False
Aluminium ores and concentrates,"('BE', 'Petroleum Coke')",False,False
Aluminium ores and concentrates,"('BE', 'Non-specified Petroleum Products')",False,False
Aluminium ores and concentrates,"('BE', 'Nuclear fuel')",False,False
Aluminium ores and concentrates,"('BE', 'Plastics, basic')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary plastic for treatment, Re-processing of secondary plastic into new plastic')",False,False
Aluminium ores and concentrates,"('BE', 'N-fertiliser')",False,False
Aluminium ores and concentrates,"('BE', 'P- and other fertiliser')",False,False
Aluminium ores and concentrates,"('BE', 'Chemicals nec')",False,False
Aluminium ores and concentrates,"('BE', 'Charcoal')",False,False
Aluminium ores and concentrates,"('BE', 'Additives/Blending Components')",False,False
Aluminium ores and concentrates,"('BE', 'Biogasoline')",False,False
Aluminium ores and concentrates,"('BE', 'Biodiesels')",False,False
Aluminium ores and concentrates,"('BE', 'Other Liquid Biofuels')",False,False
Aluminium ores and concentrates,"('BE', 'Rubber and plastic products (25)')",False,False
Aluminium ores and concentrates,"('BE', 'Glass and glass products')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary glass for treatment, Re-processing of secondary glass into new glass')",False,False
Aluminium ores and concentrates,"('BE', 'Ceramic goods')",False,False
Aluminium ores and concentrates,"('BE', 'Bricks, tiles and construction products, in baked clay')",False,False
Aluminium ores and concentrates,"('BE', 'Cement, lime and plaster')",False,False
